Algorithm,Mode,Threads,Size,Sample,TimeMs
CountingSort,Parallel,2,1000,1,21
CountingSort,Parallel,2,1000,2,18
CountingSort,Parallel,2,1000,3,5
CountingSort,Parallel,2,1000,4,6
CountingSort,Parallel,2,1000,5,5
CountingSort,Parallel,4,1000,1,8
CountingSort,Parallel,4,1000,2,7
CountingSort,Parallel,4,1000,3,4
CountingSort,Parallel,4,1000,4,5
CountingSort,Parallel,4,1000,5,5
CountingSort,Parallel,8,1000,1,9
CountingSort,Parallel,8,1000,2,8
CountingSort,Parallel,8,1000,3,9
CountingSort,Parallel,8,1000,4,8
CountingSort,Parallel,8,1000,5,10
MergeSort,Serial,1,10000,1,1
MergeSort,Serial,1,10000,2,0
MergeSort,Serial,1,10000,3,1
MergeSort,Serial,1,10000,4,1
MergeSort,Serial,1,10000,5,1
MergeSort,Parallel,2,10000,1,2
MergeSort,Parallel,2,10000,2,1
MergeSort,Parallel,2,10000,3,1
MergeSort,Parallel,2,10000,4,0
MergeSort,Parallel,2,10000,5,1
MergeSort,Parallel,4,10000,1,1
MergeSort,Parallel,4,10000,2,0
MergeSort,Parallel,4,10000,3,1
MergeSort,Parallel,4,10000,4,1
MergeSort,Parallel,4,10000,5,1
MergeSort,Parallel,8,10000,1,1
MergeSort,Parallel,8,10000,2,1
MergeSort,Parallel,8,10000,3,1
MergeSort,Parallel,8,10000,4,1
MergeSort,Parallel,8,10000,5,1
QuickSort,Serial,1,10000,1,0
QuickSort,Serial,1,10000,2,0
QuickSort,Serial,1,10000,3,0
QuickSort,Serial,1,10000,4,0
QuickSort,Serial,1,10000,5,0
QuickSort,Parallel,2,10000,1,0
QuickSort,Parallel,2,10000,2,1
QuickSort,Parallel,2,10000,3,1
QuickSort,Parallel,2,10000,4,1
QuickSort,Parallel,2,10000,5,2
QuickSort,Parallel,4,10000,1,1
QuickSort,Parallel,4,10000,2,1
QuickSort,Parallel,4,10000,3,1
QuickSort,Parallel,4,10000,4,1
QuickSort,Parallel,4,10000,5,1
QuickSort,Parallel,8,10000,1,0
QuickSort,Parallel,8,10000,2,0
QuickSort,Parallel,8,10000,3,0
QuickSort,Parallel,8,10000,4,0
QuickSort,Parallel,8,10000,5,1
BubbleSort,Serial,1,10000,1,78
BubbleSort,Serial,1,10000,2,81
BubbleSort,Serial,1,10000,3,81
BubbleSort,Serial,1,10000,4,82
BubbleSort,Serial,1,10000,5,83
BubbleSort,Parallel,2,10000,1,123
BubbleSort,Parallel,2,10000,2,121
BubbleSort,Parallel,2,10000,3,131
BubbleSort,Parallel,2,10000,4,129
BubbleSort,Parallel,2,10000,5,134
BubbleSort,Parallel,4,10000,1,110
BubbleSort,Parallel,4,10000,2,106
BubbleSort,Parallel,4,10000,3,103
BubbleSort,Parallel,4,10000,4,108
BubbleSort,Parallel,4,10000,5,107
BubbleSort,Parallel,8,10000,1,154
BubbleSort,Parallel,8,10000,2,164
BubbleSort,Parallel,8,10000,3,127
BubbleSort,Parallel,8,10000,4,107
BubbleSort,Parallel,8,10000,5,107
CountingSort,Serial,1,10000,1,1
CountingSort,Serial,1,10000,2,1
CountingSort,Serial,1,10000,3,0
CountingSort,Serial,1,10000,4,1
CountingSort,Serial,1,10000,5,1
CountingSort,Parallel,2,10000,1,6
CountingSort,Parallel,2,10000,2,3
CountingSort,Parallel,2,10000,3,4
CountingSort,Parallel,2,10000,4,5
CountingSort,Parallel,2,10000,5,3
CountingSort,Parallel,4,10000,1,4
CountingSort,Parallel,4,10000,2,4
CountingSort,Parallel,4,10000,3,6
CountingSort,Parallel,4,10000,4,6
CountingSort,Parallel,4,10000,5,6
CountingSort,Parallel,8,10000,1,8
CountingSort,Parallel,8,10000,2,10
CountingSort,Parallel,8,10000,3,8
CountingSort,Parallel,8,10000,4,7
CountingSort,Parallel,8,10000,5,9
MergeSort,Serial,1,50000,1,5
MergeSort,Serial,1,50000,2,4
MergeSort,Serial,1,50000,3,5
MergeSort,Serial,1,50000,4,5
MergeSort,Serial,1,50000,5,6
MergeSort,Parallel,2,50000,1,4
MergeSort,Parallel,2,50000,2,4
MergeSort,Parallel,2,50000,3,4
MergeSort,Parallel,2,50000,4,5
MergeSort,Parallel,2,50000,5,3
MergeSort,Parallel,4,50000,1,2
MergeSort,Parallel,4,50000,2,4
MergeSort,Parallel,4,50000,3,3
MergeSort,Parallel,4,50000,4,2
MergeSort,Parallel,4,50000,5,2
MergeSort,Parallel,8,50000,1,2
MergeSort,Parallel,8,50000,2,2
MergeSort,Parallel,8,50000,3,3
MergeSort,Parallel,8,50000,4,1
MergeSort,Parallel,8,50000,5,1
QuickSort,Serial,1,50000,1,4
QuickSort,Serial,1,50000,2,3
QuickSort,Serial,1,50000,3,3
QuickSort,Serial,1,50000,4,3
QuickSort,Serial,1,50000,5,3
QuickSort,Parallel,2,50000,1,2
QuickSort,Parallel,2,50000,2,2
QuickSort,Parallel,2,50000,3,2
QuickSort,Parallel,2,50000,4,2
QuickSort,Parallel,2,50000,5,2
QuickSort,Parallel,4,50000,1,2
QuickSort,Parallel,4,50000,2,3
QuickSort,Parallel,4,50000,3,2
QuickSort,Parallel,4,50000,4,1
QuickSort,Parallel,4,50000,5,2
QuickSort,Parallel,8,50000,1,2
QuickSort,Parallel,8,50000,2,2
QuickSort,Parallel,8,50000,3,2
QuickSort,Parallel,8,50000,4,1
QuickSort,Parallel,8,50000,5,2
BubbleSort,Serial,1,50000,1,2739
BubbleSort,Serial,1,50000,2,2689
BubbleSort,Serial,1,50000,3,2720
BubbleSort,Serial,1,50000,4,2731
BubbleSort,Serial,1,50000,5,2802
BubbleSort,Parallel,2,50000,1,1011
BubbleSort,Parallel,2,50000,2,989
BubbleSort,Parallel,2,50000,3,1009
BubbleSort,Parallel,2,50000,4,999
BubbleSort,Parallel,2,50000,5,1032
BubbleSort,Parallel,4,50000,1,841
BubbleSort,Parallel,4,50000,2,855
BubbleSort,Parallel,4,50000,3,825
BubbleSort,Parallel,4,50000,4,886
BubbleSort,Parallel,4,50000,5,885
BubbleSort,Parallel,8,50000,1,836
BubbleSort,Parallel,8,50000,2,830
BubbleSort,Parallel,8,50000,3,793
BubbleSort,Parallel,8,50000,4,780
BubbleSort,Parallel,8,50000,5,870
CountingSort,Serial,1,50000,1,1
CountingSort,Serial,1,50000,2,2
CountingSort,Serial,1,50000,3,1
CountingSort,Serial,1,50000,4,2
CountingSort,Serial,1,50000,5,2
CountingSort,Parallel,2,50000,1,4
CountingSort,Parallel,2,50000,2,3
CountingSort,Parallel,2,50000,3,3
CountingSort,Parallel,2,50000,4,3
CountingSort,Parallel,2,50000,5,4
CountingSort,Parallel,4,50000,1,5
CountingSort,Parallel,4,50000,2,5
CountingSort,Parallel,4,50000,3,5
CountingSort,Parallel,4,50000,4,5
CountingSort,Parallel,4,50000,5,6
CountingSort,Parallel,8,50000,1,10
CountingSort,Parallel,8,50000,2,10
CountingSort,Parallel,8,50000,3,15
CountingSort,Parallel,8,50000,4,9
CountingSort,Parallel,8,50000,5,9
